X,Y,ACC_T_DESC,RD_U_DESC,LGA_NAME,REGION_NAM
2549782.032,2410401.219,Collision with a fixed object,Passengers,YARRA RANGES,METROPOLITAN SOUTH EAST REGION
2480513.34,2404943.424,Collision with a fixed object,Passengers,HOBSONS BAY,METROPOLITAN NORTH WEST REGION
2480513.34,2404943.424,Collision with a fixed object,Drivers,HOBSONS BAY,METROPOLITAN NORTH WEST REGION
2402698.695,2404815.094,Collision with some other object,Passengers,GOLDEN PLAINS,SOUTH WESTERN REGION
2516236.298,2409251.696,Collision with a fixed object,Motorcyclists,WHITEHORSE,METROPOLITAN SOUTH EAST REGION
2514060.288,2497401.786,No collision and no object struck,Drivers,MITCHELL,NORTHERN REGION
2477732.5,2405194.455,Collision with vehicle,Drivers,WYNDHAM,METROPOLITAN NORTH WEST REGION
2749515.244,2533625.24,Collision with a fixed object,Drivers,EAST GIPPSLAND,EASTERN REGION
2543587.377,2365013.165,Collision with vehicle,Motorcyclists,CARDINIA,METROPOLITAN SOUTH EAST REGION
2645216.489,2608590.969,Collision with vehicle,Drivers,INDIGO,NORTH EASTERN REGION
2506215.519,2392657.54,Collision with vehicle,Motorcyclists,KINGSTON,METROPOLITAN SOUTH EAST REGION
2520568.67,2390430.189,Collision with a fixed object,Drivers,CASEY,METROPOLITAN SOUTH EAST REGION
2503379.652,2399713.513,Collision with vehicle,Bicyclists,GLEN EIRA,METROPOLITAN SOUTH EAST REGION
2510140.448,2414076.156,Struck Pedestrian,Pedestrians,MANNINGHAM,METROPOLITAN SOUTH EAST REGION
2625545.742,2602701.447,Collision with a fixed object,Passengers,INDIGO,NORTH EASTERN REGION
2292660.131,2453290.725,Collision with a fixed object,Passengers,ARARAT,WESTERN REGION
2340937.037,2456886.646,Struck animal,Passengers,ARARAT,WESTERN REGION
2485836.767,2417168.465,Collision with a fixed object,Passengers,BRIMBANK,METROPOLITAN NORTH WEST REGION
2485836.767,2417168.465,Collision with a fixed object,Drivers,BRIMBANK,METROPOLITAN NORTH WEST REGION
2482055.259,2417437.501,Collision with vehicle,Motorcyclists,BRIMBANK,METROPOLITAN NORTH WEST REGION
2341802.107,2319787.648,Collision with vehicle,Passengers,CORANGAMITE,SOUTH WESTERN REGION
2341802.107,2319787.648,Collision with vehicle,Drivers,CORANGAMITE,SOUTH WESTERN REGION
2542841.479,2373477.441,Collision with vehicle,Drivers,CARDINIA,METROPOLITAN SOUTH EAST REGION
2601828.698,2332195.808,Collision with vehicle,Motorcyclists,SOUTH GIPPSLAND,EASTERN REGION
2560841.489,2440525.817,Collision with a fixed object,Drivers,MURRINDINDI,NORTH EASTERN REGION
2525502.032,2405397.291,Collision with vehicle,Motorcyclists,KNOX,METROPOLITAN SOUTH EAST REGION
2473084.879,2401446.844,Collision with vehicle,Passengers,WYNDHAM,METROPOLITAN NORTH WEST REGION
2496274.352,2423696.246,Collision with vehicle,Motorcyclists,HUME,METROPOLITAN NORTH WEST REGION
2257555.524,2776005.293,Collision with some other object,Motorcyclists,MILDURA,WESTERN REGION
2604411.772,2366011.974,Collision with vehicle,Motorcyclists,BAW BAW,EASTERN REGION
2483738.905,2415136.672,Collision with vehicle,Motorcyclists,BRIMBANK,METROPOLITAN NORTH WEST REGION
2475498.72,2352944.028,Collision with vehicle,Bicyclists,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION
2243482.778,2413551.645,Collision with vehicle,Drivers,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION
2488062.684,2406724.371,Collision with vehicle,Bicyclists,HOBSONS BAY,METROPOLITAN NORTH WEST REGION
2473562.364,2391988.301,Collision with a fixed object,Motorcyclists,WYNDHAM,METROPOLITAN NORTH WEST REGION
2529526.779,2518842.904,Collision with a fixed object,Drivers,STRATHBOGIE,NORTH EASTERN REGION
2295183.275,2761943.689,Collision with vehicle,Drivers,SWAN HILL,NORTHERN REGION
2551806.263,2381289.784,Collision with vehicle,Motorcyclists,CARDINIA,METROPOLITAN SOUTH EAST REGION
2479807.221,2415709.077,Struck Pedestrian,Pedestrians,BRIMBANK,METROPOLITAN NORTH WEST REGION
2521610.528,2559849.696,Collision with a fixed object,Drivers,SHEPPARTON,NORTH EASTERN REGION
2499762.193,2410087.721,Struck Pedestrian,Pedestrians,YARRA,METROPOLITAN NORTH WEST REGION
2488597.562,2344852.815,Struck Pedestrian,Pedestrians,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION
2501750.569,2419268.824,Struck Pedestrian,Pedestrians,DAREBIN,METROPOLITAN NORTH WEST REGION
2516179.603,2371885.798,Struck Pedestrian,Pedestrians,FRANKSTON,METROPOLITAN SOUTH EAST REGION
2481897.279,2422281.976,Collision with a fixed object,Drivers,BRIMBANK,METROPOLITAN NORTH WEST REGION
2561792.28,2352865.791,Collision with some other object,Drivers,SOUTH GIPPSLAND,EASTERN REGION
2401698.309,2490141.645,Collision with vehicle,Motorcyclists,CENTRAL GOLDFIELDS,WESTERN REGION
2580104.342,2431439.071,Collision with vehicle,Motorcyclists,YARRA RANGES,METROPOLITAN SOUTH EAST REGION
2713501.472,2401580.075,Collision with a fixed object,Drivers,EAST GIPPSLAND,EASTERN REGION
2573472.414,2375694.195,Collision with vehicle,Motorcyclists,BAW BAW,EASTERN REGION
